Epoch,Train_Loss,Validation_Loss
1.000000000000000000e+00,1.197328229745229011e+00,1.144592493772506714e+00
2.000000000000000000e+00,9.786898460653092879e-01,8.952072535951932641e-01
3.000000000000000000e+00,8.502893480989668351e-01,8.731555814544359473e-01
4.000000000000000000e+00,8.024438917636871338e-01,7.866039797663688660e-01
5.000000000000000000e+00,6.357959293656878508e-01,6.653408451626697806e-01
6.000000000000000000e+00,5.272222045395109635e-01,5.485855129857858392e-01
7.000000000000000000e+00,4.290861893031332475e-01,6.340281444912155839e-01
8.000000000000000000e+00,4.740320410993363875e-01,7.377793776492277411e-01
